wordnet/wordnet_pra_short	instance_hypernym	Predicted MAP	0.9913793103448276
wordnet/wordnet_pra_short	instance_hypernym	Per Query MAP	0.5437352245862884
wordnet/wordnet_pra_short	instance_hypernym	AP	0.5183422975815685
wordnet/wordnet_pra_short	instance_hypernym	Predicted MRR	1.0
wordnet/wordnet_pra_short	hypernym	Per Query MRR	0.1969601677148847
wordnet/wordnet_pra_short	hypernym	__TIMESTAMP__	1.549913724E12
wordnet/wordnet_pra_short	hypernym	% no predictions	0.7974842767295598
wordnet/wordnet_pra_short	hypernym	RR	1.0
wordnet/wordnet_pra_short	hypernym	Predicted MAP	0.9720496894409938
wordnet/wordnet_pra_short	hypernym	Per Query MAP	0.1968553459119497
wordnet/wordnet_pra_short	hypernym	AP	0.17317443161449206
wordnet/wordnet_pra_short	hypernym	Predicted MRR	0.972567287784679
wordnet/wordnet_pra_short	member_of_domain_usage	Per Query MRR	0.3333333333333333
wordnet/wordnet_pra_short	member_of_domain_usage	__TIMESTAMP__	1.54991402E12
wordnet/wordnet_pra_short	member_of_domain_usage	% no predictions	0.6666666666666666
wordnet/wordnet_pra_short	member_of_domain_usage	RR	1.0
wordnet/wordnet_pra_short	member_of_domain_usage	Predicted MAP	0.26428571428571423
wordnet/wordnet_pra_short	member_of_domain_usage	Per Query MAP	0.08809523809523807
wordnet/wordnet_pra_short	member_of_domain_usage	AP	0.09009009009009009
wordnet/wordnet_pra_short	member_of_domain_usage	Predicted MRR	1.0
wordnet/wordnet_pra_short	derivationally_related_form	Per Query MRR	0.89619708994709
wordnet/wordnet_pra_short	derivationally_related_form	__TIMESTAMP__	1.5499139E12
wordnet/wordnet_pra_short	derivationally_related_form	% no predictions	0.1003968253968254
wordnet/wordnet_pra_short	derivationally_related_form	RR	1.0
wordnet/wordnet_pra_short	derivationally_related_form	Predicted MAP	0.9824878694309661
wordnet/wordnet_pra_short	derivationally_related_form	Per Query MAP	0.8838492063492064
wordnet/wordnet_pra_short	derivationally_related_form	AP	0.8825777676056157
wordnet/wordnet_pra_short	derivationally_related_form	Predicted MRR	0.9962137920893988
